sample-id	shannon_entropy	observed_features	pielou_evenness	faith_pd	species
TBC1	2.15783343899752	120	0.312417492231525	34.8916590182763	nigrospiracula
TBC12	6.03713377951515	504	0.672490312317396	161.72413829772	nigrospiracula
TBC13	3.35408383138344	156	0.460384166944079	40.9104879862424	mojavensis
TBC14	3.34465097444327	281	0.411172323994008	74.6902307471324	mojavensis
TBC15	1.63923182974926	83	0.257132814220558	21.3212461121933	mettleri
TBC16	3.12204419244568	235	0.396373703456224	63.94655955095	mettleri
TBC17	3.94176492463944	143	0.550535720438386	37.7333328575627	arizonae
TBC19	2.17646138784046	162	0.296526684739483	31.2171670660985	mojavensis
TBC2	5.18391525259196	797	0.537837808836531	194.183316956179	mojavensis
TBC20	3.90626954519705	123	0.562659183814866	31.2494504581506	mettleri
TBC21	4.13670551029041	137	0.582796113336956	34.2940982370724	mettleri
TBC22	3.29769594852552	152	0.454984675606771	42.7307378968299	arizonae
TBC23	4.60261883611119	694	0.487627962137332	152.924926119966	arizonae
TBC24	2.81083268048459	132	0.399016953460943	32.8134866685263	melanogaster
TBC25	3.99150221143217	223	0.511672020233582	66.4300976389966	nigrospiracula
TBC26	4.84063679358859	320	0.581672508869966	92.2600970066037	nigrospiracula
TBC27	3.45972807179785	93	0.529078459743297	31.1337568227216	mettleri
TBC28	3.97380552278811	287	0.486693303239653	82.0442663920172	mettleri
TBC29	3.44064343263892	147	0.477888891028016	41.0243849571025	arizonae
TBC3	1.81090120554371	266	0.224809151019052	90.6254101427298	arizonae
TBC30	2.37275680791943	124	0.341197846884973	38.231718545248	nigrospiracula
TBC31	1.64998255478718	118	0.239730949717081	23.3176426806699	nigrospiracula
TBC32	2.42975685852657	112	0.356931126163779	29.0047537969464	nigrospiracula
TBC33	1.59940940307921	90	0.246371780036654	23.5348366120579	arizonae
TBC34	2.51288789127067	142	0.351465282515441	37.2558924238478	mojavensis
TBC35	4.70111629970145	578	0.512387398261751	133.16253971656	arizonae
TBC36	2.00531709273423	77	0.319991287354725	22.3580212305694	arizonae
TBC37	2.84873582737401	126	0.408287449924331	37.4258834962421	arizonae
TBC38	5.78959202496468	304	0.701945066263982	89.9934846749992	melanogaster
TBC4	4.49504721652348	784	0.467517719141022	205.845883484363	arizonae
TBC5	4.5130032027391	642	0.48389399276224	146.998607667063	melanogaster
TBC6	2.34341571723739	262	0.291708244018634	82.7873262665458	melanogaster
TBC8	3.61051578946233	111	0.531394583505507	25.5003220828067	melanogaster
