	TBC1	TBC12	TBC13	TBC14	TBC15	TBC16	TBC17	TBC19	TBC2	TBC20	TBC21	TBC22	TBC23	TBC24	TBC25	TBC26	TBC27	TBC28	TBC29	TBC3	TBC30	TBC31	TBC32	TBC33	TBC34	TBC35	TBC36	TBC37	TBC38	TBC4	TBC5	TBC6	TBC8
TBC1	0	1.564041546106661	1.082974297467156	1.459134333775139	1.455612545040376	1.45507381039581	1.281022621307147	1.52014332859357	1.384572921019778	1.392482980926897	1.5349196255857	1.416270094943312	1.347781147392996	1.537134776137661	1.343596458815352	1.376474531461658	1.279448867267909	1.433248915530257	1.348927538591454	1.438593123877018	1.035050555454287	1.605634314675983	1.496874493608234	1.611048685820037	1.117165860974038	1.403939473137781	1.571322413126829	1.50093993927875	1.326825081950057	1.404288060848608	1.31026561837557	1.369857600310921	1.40990412827388
TBC12	1.564041546106661	0	1.567977562107186	1.459726574668861	1.582071825914964	1.644248891460818	1.694109628175044	1.815001401373705	1.335747939408565	1.414181514930814	1.621259058092317	1.480079054096687	1.397786316345093	1.547675537919742	1.474580694788244	1.311321539410146	1.381228530891686	1.385476720044468	1.685277204374058	1.557694492046062	1.577709893634388	1.899193394258807	1.514468601887801	1.8900344183424	1.799340273434533	1.509159687401945	1.593136535209738	1.650058847375766	1.320810282679641	1.35174805247052	1.47660937278624	1.492875256422303	1.487785057815122
TBC13	1.082974297467156	1.567977562107186	0	1.100706141130527	1.180305391634897	0.9553591388153847	0.6812517909965212	1.22909431032122	1.166914179983445	0.9082684092683722	0.8112347991306929	0.9337720810972077	0.8451268780939742	0.9737472330997842	0.6288419251424501	0.9772882639992955	0.8487338722572124	0.8673898828177546	0.8325007905955434	1.24077148980407	0.4185245509597317	1.358740466142683	0.9505479285864459	1.329885788057551	0.8352438778869875	0.7894723252060276	1.024693540738963	0.9017236546466569	0.6927327055040167	1.085247972811334	0.9226704524489063	1.047651404070954	0.8176978029283186
TBC14	1.459134333775139	1.459726574668861	1.100706141130527	0	0.3254444415282242	1.052847572195534	1.273728075007523	1.5082928845801	0.4201673234812294	0.6174919663839212	1.216348969753412	0.3103584932559852	0.569457301710445	1.059163846007718	1.054026603408197	0.4514925863272143	0.4638286953489258	0.5263181217208037	1.219525145255885	0.3763176803059896	0.9005010760135821	1.638053999925522	1.031840836107081	1.610251645197651	1.497033822421165	1.239732333510315	1.177441225202239	1.261807114243627	0.9459944021769504	0.4209946408101471	0.6944070531241722	0.4024508178739358	0.7708575169651736
TBC15	1.455612545040376	1.582071825914964	1.180305391634897	0.3254444415282242	0	1.219749209583217	1.329745710112433	1.520866921337257	0.5786379604419984	0.7600011308194473	1.354347088951298	0.4174541415852707	0.6361827742642324	1.047539828110086	1.099888664032641	0.7284912825744542	0.5516913671864742	0.7432340602776768	1.270654996468284	0.1045166670311121	0.9098333687847383	1.648732113405846	1.062037307936495	1.624176882019614	1.535947788189931	1.282250052613953	1.172436475002262	1.290512276198689	1.151633929684344	0.5420206004198925	0.7510932100239279	0.3722468657481189	0.8602725343194741
TBC16	1.45507381039581	1.644248891460818	0.9553591388153847	1.052847572195534	1.219749209583217	0	0.6646370382116612	0.5688174170033181	1.165908540240251	1.109216635271354	0.7620658862174102	1.142496166246948	1.043361029601989	1.211270037215633	0.8077033308470299	1.018583787328749	1.127247042609657	0.7783499943048717	0.3316612810541402	1.278751883705306	1.161691473786084	0.6852611252839482	1.253648161430504	0.6547416961700291	1.491455604320508	1.071077221138662	1.128997175840531	0.6303616747135705	0.8995109399624595	1.082774048166317	1.162970524410628	1.256058929949657	1.006938880141007
TBC17	1.281022621307147	1.694109628175044	0.6812517909965212	1.273728075007523	1.329745710112433	0.6646370382116612	0	0.8623156796731253	1.31238496708341	1.195999795852117	0.7406976106982054	1.196557450837009	1.081753756457372	1.226427654524255	0.703288325693609	1.225392960455072	1.121279678921552	0.970081888818668	0.4527144611659646	1.378794174122463	0.9423993764244456	0.9735431907868649	1.169791259345061	0.9540108359425785	1.060063493724028	0.8872867627811454	1.14413741262752	0.7168694559178262	0.8213833605695799	1.222457303934614	0.9589807469763785	1.157154244640571	1.085214805930408
TBC19	1.52014332859357	1.815001401373705	1.22909431032122	1.5082928845801	1.520866921337257	0.5688174170033181	0.8623156796731253	0	1.485810266751789	1.476083284242683	1.026049016832097	1.50496003969723	1.354555437861451	1.295294769006917	0.9810278548211244	1.491804414106568	1.496303986372174	1.237906652741088	0.4914603697709733	1.52559723255703	1.432858134269437	0.1959791258658486	1.345676283693544	0.2021552579474026	1.495408247187744	1.17047136553491	1.168588349213575	0.7112720532310601	1.161640002072857	1.456352356197714	1.404590872862493	1.572493587982633	1.355448304538269
TBC2	1.384572921019778	1.335747939408565	1.166914179983445	0.4201673234812294	0.5786379604419984	1.165908540240251	1.31238496708341	1.485810266751789	0	0.7241835277007391	1.298831848291604	0.5095988762771496	0.4430531213519908	1.119025144519642	1.077136577847794	0.5210420325955561	0.5238721075144398	0.6369269037465799	1.26150989335578	0.5209539980959418	0.9133381294942488	1.616043849145569	1.101967428859706	1.611186850981938	1.529064064659933	1.112604545977499	1.215994171513903	1.299123156094202	0.8651589333880868	0.3737867108386845	0.5344467779636406	0.5455536742877938	0.8914730541337234
TBC20	1.392482980926897	1.414181514930814	0.9082684092683722	0.6174919663839212	0.7600011308194473	1.109216635271354	1.195999795852117	1.476083284242683	0.7241835277007391	0	0.9369261787053629	0.4221942556651909	0.5500979560075854	0.627633333369508	0.6292123560510225	0.4572973175369101	0.4408671968343452	0.5619741175210589	1.094818782849488	0.8138749049615067	0.8491786710489374	1.629940186244304	0.5945291340867637	1.582647978985843	1.38757736363885	0.8330608964365354	0.7680941936368507	0.8692673078344058	0.7539183597086506	0.7251759058922822	0.8456439253428155	0.787552732915541	0.3388240617475473
TBC21	1.5349196255857	1.621259058092317	0.8112347991306929	1.216348969753412	1.354347088951298	0.7620658862174102	0.7406976106982054	1.026049016832097	1.298831848291604	0.9369261787053629	0	1.045609190417664	1.009219704178885	1.029420509488056	0.4872553322070093	1.037058501319558	0.9624588495403896	0.8331307675727649	0.7035168523881543	1.41826541980772	1.11169874574404	1.175592892570998	1.044123378092585	1.122393756850385	1.419186193838136	0.8174096427277691	0.9867493342580506	0.645345406885088	0.6910229954869729	1.212114700033396	1.169685000577097	1.262498746408445	0.9207475213684178
TBC22	1.416270094943312	1.480079054096687	0.9337720810972077	0.3103584932559852	0.4174541415852707	1.142496166246948	1.196557450837009	1.50496003969723	0.5095988762771496	0.4221942556651909	1.045609190417664	0	0.430310219503709	0.9029148103058797	0.8340256994678391	0.4606166280319001	0.2660219845570898	0.5101031578267692	1.104532569701312	0.4802730604075267	0.7967116799916383	1.640209423908641	0.8482628663855298	1.603053516485863	1.376339123510767	1.052960607093215	1.043440028395559	1.133471976135151	0.8548845100810029	0.421221972825835	0.6430805453261553	0.423909153209335	0.6139099065374913
TBC23	1.347781147392996	1.397786316345093	0.8451268780939742	0.569457301710445	0.6361827742642324	1.043361029601989	1.081753756457372	1.354555437861451	0.4430531213519908	0.5500979560075854	1.009219704178885	0.430310219503709	0	0.8815925078990693	0.7361551946602183	0.4984032396717868	0.4159526899142535	0.4388951204767021	0.9957191867677457	0.6413000343559011	0.7838108398491634	1.502016448865471	0.8554183751210133	1.455657102376816	1.35907227460336	0.7692701872095976	0.9875385767655921	1.015307224834682	0.7587053061516429	0.4110383715758963	0.433948138179066	0.5998081080595669	0.6434929924828747
